"","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q43_First.Click","Q43_Last.Click","Q43_Page.Submit","Q43_Click.Count","Q60_First.Click","Q60_Last.Click","Q60_Page.Submit","Q60_Click.Count","Q83_First.Click","Q83_Last.Click","Q83_Page.Submit","Q83_Click.Count","sex","age","race","educ","employ","income","politic1","politic2_1","Vax1_Vax1_1","Vax1_Vax1_2","Vax1_Vax1_3","Vax1_Vax1_4","Vax1_Vax1_5","Vax1_Vax1_6","Vax1_Vax1_check","Vax1_Vax1_33","Vax1_Vax1_34","Vax1_Vax1_35","Vax1_Vax1_36","Euth1_Euthanasia_1","Euth1_Euthanasia_2","Euth1_Euthanasia_3","Euth1_Euthanasia_4","Euth1_Euthanasia_5","Euth1_Euthanasia_check","Consq_Consequ2R_1","Consq_Consequ2R_2","Consq_Consequ2R_3","Consq_Consequ2R_4","Consq_Consequ2R_5","Consq_Consequ2R_check","Abortion_Abortion2R_1","Abortion_Abortion2R_2","Abortion_Abortion2R_3","Abortion_Abortion2R_4","Abortion_Abortion2R_5","Abortion_Abortion2R_check","SC0","SC1","SC2","SC3","SC4","workerId","assignmentId","hitId","study_time","payment","eligible"
"11","2018-03-21 12:35:45","2018-03-21 12:37:44","0","5afac8825e7b475f","100","119","1","2018-03-21 12:37:45","R_1NwVghTHnNzg5W9","","","","","35.109100341797","-106.58070373535","anonymous","EN","3.671","3.863","4.255","2","0.681","5.881","6.08","22","0.915","5.779","6.042","22","1","27","1","2","3","1","11","31","1","6","5","2","6","1","5","6","3","6","1","3","4","5","5","3","4","4","3","3","3","4","3","2","2","3","4","5","3","28","3","19","12","16","6e2838c50bc9de22","3IUZPWIU1O7GCCIVR3R1WMZYOYFKWR","3M4KL7H8KVNDQCJ9293D5T9ZPAF61Q","3","$0.40","false"
"12","2018-03-21 12:35:35","2018-03-21 12:37:53","0","873200ebf53d328b","100","137","1","2018-03-21 12:37:54","R_2D1ZMN48zSFGDJC","","","","","42.079605102539","-71.038200378418","anonymous","EN","0","0","4.191","0","0","0","5.728","0","0","0","6.231","0","1","32","1","4","1","6","9","15","1","6","6","1","6","1","5","6","1","6","1","6","1","5","5","6","3","5","3","4","6","2","2","1","1","1","6","6","3","30","3","16","5","25","041b418380cc39f7","31QTRG6Q2TDLC8ABJWEXD06DTGLPYW","3M4KL7H8KVNDQCJ9293D5T9ZPAF61Q","3","$0.40","false"
"13","2018-03-21 12:35:41","2018-03-21 12:38:01","0","f0b6143153300edf","100","140","1","2018-03-21 12:38:01","R_1kHYYbopIPaHwkE","","","","","35.058502197266","-106.62359619141","anonymous","EN","0","0","4.38","0","0","0","6.048","0","0","0","8.598","0","2","31","2","4","1","3","2","0","1","6","6","1","6","1","5","6","1","6","1","6","1","6","1","6","4","6","1","6","1","6","2","1","1","1","6","6","3","30","4","30","5","30","243d99d2390b7f7a","3OWEPKL089C2U32XG8B5WYHLP2BN7X","3M4KL7H8KVNDQCJ9293D5T9ZPAF61Q","3","$0.40","true"
"14","2018-03-21 12:35:29","2018-03-21 12:38:02","0","a7a5e8a39d9ac1a8","100","152","1","2018-03-21 12:38:02","R_2CJkYlszFtPrP3R","","","","","45.507293701172","-122.69319915771","anonymous","EN","0","0","6.416","0","0","0","8.127","0","0","0","6.305","0","2","28","1","5","1","4","2","9","1","6","6","2","4","1","5","6","3","6","1","6","3","5","2","5","4","4","3","2","3","3","2","2","1","2","4","5","3","27","4","17","10","25","8f03200d4cb4730f","31N2WW6R9RQ85SOTG8P2BCWWI93F3D","3M4KL7H8KVNDQCJ9293D5T9ZPAF61Q","3","$0.40","true"
"15","2018-03-21 12:35:37","2018-03-21 12:38:12","0","265567c7888a9dec","100","154","1","2018-03-21 12:38:13","R_2ysIrX0y2zaRRqZ","","","","","45.063598632812","-93.378898620605","anonymous","EN","0","0","4.064","0","0","0","6.107","0","8.218","8.218","9.102","1","1","26","1","4","1","4","2","35","1","6","6","1","6","1","5","6","1","6","1","6","1","6","3","6","4","6","2","5","2","5","2","1","1","1","6","6","3","30","4","26","5","28","a41812dfc1e82d45","3JBT3HLQF82LHYKGFIGGR7FFZAPPZN","3M4KL7H8KVNDQCJ9293D5T9ZPAF61Q","3","$0.40","true"
"16","2018-03-21 12:35:34","2018-03-21 12:38:12","0","30ec067af73d01ba","100","158","1","2018-03-21 12:38:13","R_3qy6Xq7FlqllAhr","","","","","35.995407104492","-78.901901245117","anonymous","EN","0","0","4.338","0","0","0","7.622","0","0","0","10.17","0","1","49","1","6","1","5","2","4","1","6","6","1","5","1","5","6","2","6","1","6","2","5","4","6","4","4","2","3","3","2","2","1","1","1","6","5","3","29","4","18","6","25","eff0498c318a705c","3RU7GD8VPOTOGMY2KQM8VEICCVPPSI","3M4KL7H8KVNDQCJ9293D5T9ZPAF61Q","3","$0.40","true"
"17","2018-03-21 12:35:16","2018-03-21 12:38:13","0","1a81c5787e2945c1","100","176","1","2018-03-21 12:38:13","R_3hxvmso7XrlK4sU","","","","","40.132507324219","-75.332397460938","anonymous","EN","0","0","10.838","0","0","0","8.253","0","0","0","9.584","0","1","37","1","4","1","4","2","15","6","6","6","1","4","1","5","6","1","6","1","6","1","6","1","6","4","5","2","4","2","5","2","1","1","1","6","6","3","23","4","24","5","30","3cc8b943b27eb620","3COPXFW7XBCQS3LUFHD64SR2V1CPK1","3M4KL7H8KVNDQCJ9293D5T9ZPAF61Q","3","$0.40","true"
"18","2018-03-21 12:35:59","2018-03-21 12:38:13","0","a094111c199f62f6","100","134","1","2018-03-21 12:38:13","R_3nMDV2HtaiO2UDF","","","","","23.817901611328","90.410308837891","anonymous","EN","0","0","4.416","0","0","0","9.597","0","0","0","6.726","0","2","28","1","4","1","3","1","93","6","5","4","5","5","6","5","6","6","5","6","6","6","5","6","5","4","5","5","5","5","6","2","5","4","5","5","4","2","17","3","20","19","18","81944d724ea8e696","3OF2M9AATGOK67N02QB8VQTG50JKZH","3M4KL7H8KVNDQCJ9293D5T9ZPAF61Q","3","$0.40","false"
"19","2018-03-21 12:35:17","2018-03-21 12:38:17","0","d070861d7f7d9af4","100","179","1","2018-03-21 12:38:17","R_2QAtFmb4EUugUcI","","","","","34.148300170898","-84.140403747559","anonymous","EN","0","0","3.904","0","0","0","21.736","0","6.549","6.549","6.574","1","2","51","1","4","2","6","2","9","1","6","6","1","6","1","5","6","2","6","1","6","1","6","1","6","4","6","4","4","3","3","2","1","1","1","5","6","3","30","4","20","6","30","86bce883202ecc7f","3VELCLL3GKJCVPAET4BJNJHZKPPF1L","3M4KL7H8KVNDQCJ9293D5T9ZPAF61Q","3","$0.40","true"
"20","2018-03-21 12:36:28","2018-03-21 12:38:21","0","2a9bca65c5df9e2f","100","113","1","2018-03-21 12:38:22","R_2DOEm8gbqJOG06I","","","","","42.220306396484","-88.23380279541","anonymous","EN","0","0","4.254","0","0","0","6.252","0","0","0","6.2","0","1","28","1","3","1","3","2","14","1","1","1","1","2","4","5","2","1","2","4","2","1","2","2","2","4","5","2","3","5","2","2","6","3","2","2","2","3","16","4","17","21","17","3b86553afdace440","3JBT3HLQF82LHYKGFIGGR7FFZAPZPX","3M4KL7H8KVNDQCJ9293D5T9ZPAF61Q","3","$0.40","true"
"21","2018-03-21 12:35:22","2018-03-21 12:38:27","0","f6d2257acfd944df","100","185","1","2018-03-21 12:38:28","R_3WCpHYIHv6sNhXr","","","","","40.658294677734","-111.92310333252","anonymous","EN","0","0","8.106","0","0","0","35.241","0","0","0","8.161","0","1","39","1","6","1","6","2","17","2","5","6","2","5","2","5","6","3","6","1","6","1","6","1","6","4","5","3","5","2","4","2","2","1","1","5","5","2","26","3","23","8","30","e916aca706b1158b","3BC8WZX3V3WXRKE4ITQSAZDVRBURRO","3M4KL7H8KVNDQCJ9293D5T9ZPAF61Q","3","$0.40","false"
"22","2018-03-21 12:35:16","2018-03-21 12:38:29","0","ab7f73ed1b86e6c5","100","192","1","2018-03-21 12:38:29","R_poWWORaRl9OsVYl","","","","","39.303100585938","-82.082801818848","anonymous","EN","3.731","3.731","4.119","1","0","0","5.846","0","8.375","8.375","9.599","1","1","22","1","3","5","6","10","53","3","5","4","4","4","3","5","3","5","4","3","5","2","5","4","6","4","4","3","3","4","3","2","3","2","3","5","4","3","20","4","17","13","24","72059fbf0eff7e4f","39ZSFO5CA8W89ON8EICODJEOOT4UJ3","3M4KL7H8KVNDQCJ9293D5T9ZPAF61Q","3","$0.40","true"
"23","2018-03-21 12:36:39","2018-03-21 12:38:32","0","b72435cec2a3bfe3","100","113","1","2018-03-21 12:38:32","R_Wj0duVtRQJsmAsp","","","","","25.786804199219","-80.206199645996","anonymous","EN","0","0","4.557","0","0","0","6.359","0","0","0","7.392","0","2","23","1","2","2","1","9","49","1","3","3","6","5","5","3","3","3","5","3","2","5","6","4","3","4","5","2","2","6","1","2","3","5","5","2","3","4","18","2","14","22","16","20e531b2da8b4147","3DYGAII7PL8C36JPSMX30E3BU74QPU","3M4KL7H8KVNDQCJ9293D5T9ZPAF61Q","3","$0.40","false"
"24","2018-03-21 12:35:39","2018-03-21 12:38:36","0","804d9ba248a02002","100","176","1","2018-03-21 12:38:37","R_2tzErSwBGpqrvx8","","","","","27.910705566406","-80.635101318359","anonymous","EN","0","0","4.227","0","0","0","6.62","0","0","0","14.831","0","2","34","1","3","3","3","9","50","4","5","3","3","4","4","5","3","6","5","2","6","1","6","1","6","4","5","4","4","6","1","2","6","5","6","1","1","3","19","4","14","29","30","32ada398bf44fe76","3XXU1SWE8MVHS98OM5LRVDNYIH6A00","3M4KL7H8KVNDQCJ9293D5T9ZPAF61Q","3","$0.40","true"
"25","2018-03-21 12:36:02","2018-03-21 12:38:38","0","5e3c85ea4a5b72ee","100","156","1","2018-03-21 12:38:38","R_3J2kdTHBcSX0rqQ","","","","","46.482299804688","-90.153999328613","anonymous","EN","0","0","4.471","0","0","0","6.527","0","0","0","8.353","0","1","24","1","2","1","4","9","48","2","5","5","2","5","2","5","5","2","5","2","5","2","5","3","4","4","5","5","5","2","5","2","3","2","3","5","4","3","25","4","22","13","23","0fbd769cf2594b3b","39DD6S19JPBHK7VQ6405XVGBL3NEZR","3M4KL7H8KVNDQCJ9293D5T9ZPAF61Q","3","$0.40","true"
"26","2018-03-21 12:36:06","2018-03-21 12:38:43","0","43fb11a16913a0f9","100","157","1","2018-03-21 12:38:43","R_1Ejtyt55YnVNL94","","","","","35.913299560547","-79.159202575684","anonymous","EN","0","0","4.52","0","0","0","6.722","0","0","0","6.894","0","2","32","1","4","2","6","2","2","1","6","6","1","5","1","5","6","1","6","1","6","2","6","3","6","4","5","2","3","3","4","2","1","1","1","6","6","3","29","4","21","5","27","3e46ce86c063f097","34HJIJKLP5WIJLTNG1ZP33ROK3NV42","3M4KL7H8KVNDQCJ9293D5T9ZPAF61Q","3","$0.40","true"
"27","2018-03-21 12:35:31","2018-03-21 12:38:43","0","c5024d4f423cbf79","100","192","1","2018-03-21 12:38:43","R_3Rke2Dns0b22FL9","","","","","37.69889831543","-92.662002563477","anonymous","EN","0","0","4.384","0","0","0","6.369","0","0","0","6.333","0","2","35","1","3","1","3","2","17","6","1","1","5","1","6","5","1","1","1","6","5","2","6","2","5","4","5","3","5","5","5","2","5","4","4","5","2","3","6","4","21","20","26","bed17f4a97ca0a1b","392CY0QWG1RDXF9NHU06OE1UC1RI4S","3M4KL7H8KVNDQCJ9293D5T9ZPAF61Q","3","$0.40","true"
"28","2018-03-21 12:36:10","2018-03-21 12:38:44","0","270bfdb1e2d53d1a","100","154","1","2018-03-21 12:38:45","R_2WHEQQirmEj94rA","","","","","42.053497314453","-72.568496704102","anonymous","EN","0","0","7.429","0","0","0","12.604","0","0","0","10.975","0","1","30","1","6","1","6","2","0","1","6","6","1","6","1","5","6","1","6","1","5","1","5","1","5","4","4","3","3","4","2","2","2","1","1","6","6","3","30","4","16","6","27","d807f5d2b54cac25","36PW28KO4ZWGJZNIUCK6G2P2CIGAEM","3M4KL7H8KVNDQCJ9293D5T9ZPAF61Q","3","$0.40","true"
"29","2018-03-21 12:35:29","2018-03-21 12:38:48","0","47eb01d9cc683c73","100","199","1","2018-03-21 12:38:49","R_OvU10c14l6fA0cF","","","","","34.09049987793","-118.13439941406","anonymous","EN","0","0","5.417","0","0","0","8.189","0","0","0","15.862","0","2","52","5","3","1","5","2","10","6","6","6","1","6","1","5","6","2","6","1","6","3","6","3","6","4","3","4","4","4","1","2","1","1","1","6","6","3","25","4","14","5","26","fe7a09f5c2274862","3HSYG7LRBJYPHCOE2P8Y8B531R6KKV","3M4KL7H8KVNDQCJ9293D5T9ZPAF61Q","3","$0.40","true"
"30","2018-03-21 12:36:16","2018-03-21 12:38:49","0","56f523b09900c704","100","153","1","2018-03-21 12:38:49","R_Ra8gOGfAiu9vJ1n","","","","","37.015396118164","-88.580497741699","anonymous","EN","0","0","4.075","0","0","0","5.802","0","0","0","7.775","0","1","46","1","6","1","6","1","72","1","5","6","3","6","1","5","6","2","6","1","4","4","4","5","4","4","4","3","3","2","4","2","5","3","3","4","3","3","27","4","20","18","17","ac1ec6d622541b93","3HFNH7HEMHE6QTQQP37G65PJTGHQGQ","3M4KL7H8KVNDQCJ9293D5T9ZPAF61Q","3","$0.40","true"
"31","2018-03-21 12:35:34","2018-03-21 12:38:57","0","2ca186b8d673e590","100","202","1","2018-03-21 12:38:57","R_3ne0OH1soOSy5eu","","","","","30.28010559082","-81.404998779297","anonymous","EN","0","0","5.62","0","0","0","8.785","0","0","0","13.943","0","1","64","1","4","1","2","1","84","2","5","5","3","5","2","5","5","3","5","2","2","5","3","5","1","4","5","5","3","3","5","2","6","6","6","1","6","3","24","4","19","25","10","5bd2767ed16cc720","3WYGZ5XF3WFN5V1M7YH0ZXWDILJKSC","3M4KL7H8KVNDQCJ9293D5T9ZPAF61Q","3","$0.40","true"
"32","2018-03-21 12:37:46","2018-03-21 12:39:07","0","a340cca516f8089b","100","81","1","2018-03-21 12:39:07","R_ABEWtXDfWjGoAq5","","","","","40.404998779297","-79.974098205566","anonymous","EN","0","0","12.153","0","5.775","6.026","6.244","2","15.327","15.327","15.546","1","1","22","1","2","4","1","9","50","4","2","3","5","5","5","5","3","4","5","3","3","3","3","5","2","4","3","4","5","3","5","2","5","4","3","3","3","3","15","4","20","20","14","10e686224b46832d","3SNLUL3WO4NE4EB8H3O1TYRGSI9UL5","3M4KL7H8KVNDQCJ9293D5T9ZPAF61Q","3","$0.40","true"
"33","2018-03-21 12:36:32","2018-03-21 12:39:09","0","1ac21bff04ecb305","100","156","1","2018-03-21 12:39:09","R_3lt1XATPzc1r7rO","","","","","34.534194946289","-82.716697692871","anonymous","EN","0","0","10.191","0","0","0","9.135","0","0","0","19.556","0","1","30","1","4","1","4","9","53","1","6","6","1","6","1","5","6","1","6","1","5","1","6","5","6","4","6","5","4","1","5","2","4","2","1","5","5","3","30","4","23","11","25","d2bf299f4aa2aaeb","34S6N1K2ZVJ9ZS5OH4H2AJ2QYA7LHV","3M4KL7H8KVNDQCJ9293D5T9ZPAF61Q","3","$0.40","true"
"34","2018-03-21 12:36:01","2018-03-21 12:39:12","0","6a9005c5c0ccea46","100","191","1","2018-03-21 12:39:12","R_1kFWXrZsZCXB1tN","","","","","37.751007080078","-97.821998596191","anonymous","EN","0","0","4.169","0","0","0","7.254","0","0","0","12.403","0","1","53","1","2","1","2","1","100","6","1","1","6","3","6","5","1","1","1","6","6","6","6","6","1","4","4","6","1","5","4","2","6","6","6","1","1","3","7","4","12","30","15","b8f45646182dac93","3634BBTX0OUNVV6C1BWPFIYL1R0FID","3M4KL7H8KVNDQCJ9293D5T9ZPAF61Q","3","$0.40","true"
