"","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q43_First.Click","Q43_Last.Click","Q43_Page.Submit","Q43_Click.Count","Q60_First.Click","Q60_Last.Click","Q60_Page.Submit","Q60_Click.Count","timing_First.Click","timing_Last.Click","timing_Page.Submit","timing_Click.Count","timing_First.Click.1","timing_Last.Click.1","timing_Page.Submit.1","timing_Click.Count.1","timing_First.Click.2","timing_Last.Click.2","timing_Page.Submit.2","timing_Click.Count.2","timing_First.Click.3","timing_Last.Click.3","timing_Page.Submit.3","timing_Click.Count.3","timing_First.Click.4","timing_Last.Click.4","timing_Page.Submit.4","timing_Click.Count.4","bird_t_First.Click","bird_t_Last.Click","bird_t_Page.Submit","bird_t_Click.Count","aut_t_First.Click","aut_t_Last.Click","aut_t_Page.Submit","aut_t_Click.Count","vax2_Vax1_1","vax2_Vax1_2","vax2_Vax1_3","vax2_Vax1_4","vax2_Vax1_5","vax2_Vax1_6","vax2_Vax1_check","vax2_Vax1_33","vax2_Vax1_34","vax2_Vax1_35","vax2_Vax1_36","conseq2R_Consequ2R_1","conseq2R_Consequ2R_2","conseq2R_Consequ2R_3","conseq2R_Consequ2R_4","conseq2R_Consequ2R_5","conseq2R_Consequ2R_check","Euth2R_Euthanasia2R_1","Euth2R_Euthanasia2R_2","Euth2R_Euthanasia2R_3","Euth2R_Euthanasia2R_4","Euth2R_Euthanasia2R_5","Euth2R_Euthanasia2R_check","Abort2R_Abortion2R_1","Abort2R_Abortion2R_2","Abort2R_Abortion2R_3","Abort2R_Abortion2R_4","Abort2R_Abortion2R_5","Abort2R_Abortion2R_check","parent","num_child","oldest","youngest","hope_par","flu","flu2","flu3","flu4","delay","refuse","exemption","Attention","Any.commen","SC1","SC2","SC3","SC4","workerId","assignmentId","hitId","study_time","payment","condition"
"11","2018-03-22 09:27:25","2018-03-22 09:31:13","0","71547561fb2c1962","100","227","1","2018-03-22 09:31:13","R_b7ArHp6eBGUb8Bz","","","","",40.61,-73.91,"anonymous","EN","0","0","6.54","0","0","0","3.137","0","0","0","8.865","0","0","0","7.301","0","0","0","4.778","0","0","0","29.573","0","7.009","7.009","8.623","1","","","","","","","","","2","5","6","1","5","1","5","6","2","6","1","5","4","4","4","3","2","5","2","5","5","5","5","1","1","1","6","6","1","1","1","5","","","0","1","1","1","0","0","0","1","","3","18","5","22","b9b72e0d9882426c","37Q970SNZE8LZUF0ZOBIUI0E9MUS16","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","cdc_danger"
"12","2018-03-22 09:26:29","2018-03-22 09:31:15","0","d735d5569de04e4a","100","286","1","2018-03-22 09:31:16","R_vULFx8Rz06PfPpf","","","","",43.01,-85.6,"anonymous","EN","0","0","9.11","0","0","0","2.988","0","0","0","24.776","0","0","0","5.2","0","0","0","4.94","0","0","0","25.87","0","0","0","12.847","0","","","","","","","","","1","6","6","1","6","2","5","6","2","6","1","5","2","2","2","5","2","6","1","6","1","6","5","4","1","4","5","2","3","0","","","","1","1","1","","","","","","1","","4","22","16","30","62c75eb944f14925","3UJ1CZ6IZHPKNCGJ0BDUX8DVL2ZS5O","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","cdc_danger"
"13","2018-03-22 09:28:07","2018-03-22 09:31:16","0","a823e7cd7abb7c5a","100","188","1","2018-03-22 09:31:16","R_1OZfKvuXEn2vCEH","","","","",47.18,-122.19,"anonymous","EN","0","0","6.777","0","0","0","2.996","0","","","","","","","","","","","","","","","","","","","","","0","0","30.243","0","","","","","1","6","6","1","6","1","5","6","1","6","1","4","2","4","2","3","2","6","1","5","1","5","5","1","1","1","6","5","3","0","","","","0","1","1","","","","","","1","","4","21","6","28","b4799f651368209a","3ZWFC4W1UU70OU9VRYQYTAZCOVVFR9","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","bird"
"14","2018-03-22 09:25:50","2018-03-22 09:31:27","0","7a609b997cefcc0d","100","336","1","2018-03-22 09:31:27","R_2zl4lLJCDS9652y","","","","",42.97,-72.28,"anonymous","EN","0.6","4.804","5.913","13","0.526","1.406","3.119","4","","","","","","","","","","","","","","","","","","","","","2.045","3.611","15.931","5","","","","","1","5","5","1","5","1","5","5","1","5","1","6","5","4","5","1","2","5","1","5","1","5","5","1","1","1","6","6","3","0","","","","0","1","1","","","","","","1","none","4","15","5","27","958829f1ee6900c1","3IHR8NYAM715E1WRUPQQXB26YNY4PI","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","bird"
"15","2018-03-22 09:27:11","2018-03-22 09:31:36","0","e63f5d5f94e60db2","100","265","1","2018-03-22 09:31:37","R_4OyUnG0HZOKlolP","","","","",37.77,-89.33,"anonymous","EN","0","0","8.286","0","0","0","3.547","0","0","0","22.805","0","0","0","16.177","0","0","0","19.142","0","0","0","40.004","0","0","0","12.45","0","","","","","","","","","2","6","6","2","5","3","5","6","2","6","1","4","1","1","4","2","2","6","1","6","4","3","5","1","1","1","6","6","3","0","","","","0","0","0","","","","","","1","","4","16","5","24","cacd664ca7f5d0c3","32VNZTT0A74QQEC67HUF262LZ5M4RA","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","cdc_danger"
"16","2018-03-22 09:25:39","2018-03-22 09:31:53","0","923d97991d72bc6d","100","373","1","2018-03-22 09:31:53","R_bCxJt0anpaFBSvv","","","","",25.49,-80.42,"anonymous","EN","0","0","8.676","0","0","0","3.347","0","9.103","9.103","13.592","1","4.447","4.447","12.447","1","5.97","5.97","8.842","1","35.268","35.268","41.149","1","12.967","16.838","29.167","3","","","","","","","","","1","5","6","2","5","2","5","5","2","6","1","4","2","3","1","5","2","6","1","5","3","5","5","2","2","2","3","5","3","0","","","","0","0","0","","","","","","1","No problems.","4","23","12","26","9df3b0e36643f492","3ZOTGHDK5IB6VMM15Q9T6EDM2X4OSP","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","cdc_danger"
"17","2018-03-22 09:27:55","2018-03-22 09:32:14","0","2ca186b8d673e590","100","259","1","2018-03-22 09:32:14","R_08n1orGPiEFSkBX","","","","",30.28,-81.4,"anonymous","EN","0","0","11.684","0","0","0","4.795","0","","","","","","","","","","","","","","","","","","","","","","","","","0","0","43.056","0","1","6","6","1","5","1","5","6","2","6","1","5","3","5","2","4","2","2","2","4","5","1","5","6","6","6","1","1","3","1","1","11","","","1","1","1","1","0","0","0","1","no","4","23","30","14","5bd2767ed16cc720","3DIP6YHAPCS20BU3XE0SKBJ7M2S8E8","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","autism"
"18","2018-03-22 09:25:45","2018-03-22 09:32:18","0","38b4effd7fe5e1bb","100","392","1","2018-03-22 09:32:18","R_1HnIeJ1q3RyOzcv","","","","",39.89,-105.11,"anonymous","EN","0","0","6.595","0","3.105","3.105","3.457","1","","","","","","","","","","","","","","","","","","","","","0","0","49.967","0","","","","","1","6","6","1","6","1","5","6","1","6","1","4","6","4","6","4","2","4","3","6","6","4","5","1","1","1","6","6","3","0","","","","1","0","0","","","","","","1","","4","14","5","19","5589b96a5cdec648","3TVSS0C0E10FFV8ILC5TXDMU7IHWTY","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","bird"
"19","2018-03-22 09:27:04","2018-03-22 09:32:23","0","0b65434dcd2b41f6","100","319","1","2018-03-22 09:32:24","R_BVWPMpADeruDdst","","","","",35.99,-79.7,"anonymous","EN","0","0","7.105","0","0","0","3.873","0","","","","","","","","","","","","","","","","","","","","","","","","","0","0","46.547","0","3","4","4","4","4","4","5","4","6","4","3","3","3","2","3","2","2","2","4","4","2","2","5","5","5","5","2","1","3","1","3","30","23","","0","0","0","0","1","1","0","1","I didn't give my girls the guardia vaccine. I also spread out vaccines and waited longer than recommended in getting them.","4","15","26","16","fc9cae410a042051","3R8YZBNQ9HINX0FPW03M0SCQULA7QW","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","autism"
"20","2018-03-22 09:28:14","2018-03-22 09:32:30","0","c7f2d4c16f955619","100","255","1","2018-03-22 09:32:30","R_2eWhKqMAVKvQXar","","","","",40.77,-74.21,"anonymous","EN","0","0","5.715","0","0","0","2.975","0","","","","","","","","","","","","","","","","","","","","","0","0","46.897","0","","","","","4","5","5","2","4","3","5","5","3","5","1","4","2","3","2","3","2","4","3","5","3","5","5","2","2","2","5","5","3","1","1","1","","","1","1","1","1","0","0","0","1","Not at this time","4","20","10","22","fabe72b4cbb20f93","3TXMY6UCAEOT9HALNHBXGE44VW1QC8","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","bird"
"21","2018-03-22 09:27:03","2018-03-22 09:32:37","0","6f2de69e827ac55e","100","334","1","2018-03-22 09:32:37","R_1Q4P6IN2WYU3s0N","","","","",42.52,-83.16,"anonymous","EN","0","0","6.866","0","0","0","2.904","0","","","","","","","","","","","","","","","","","","","","","0","0","33.877","0","","","","","2","6","6","1","5","1","5","6","3","6","1","4","4","4","4","3","2","4","3","5","3","4","5","1","1","1","6","5","3","0","","","","0","0","0","","","","","","1","I had an issue with one of the questions. My real answer for the question about whether or not I planned to have children wasn't that I don't want them. It's that I once wanted kids but couldn't have them. Now I am too old. That window of opportunity has closed. For a lot of childless people, it's not a choice.  ","4","17","6","21","39d89126980ef34b","3TXWC2NHNZQ3OZIV31QB9OIX7ZJ9SZ","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","bird"
"22","2018-03-22 09:28:54","2018-03-22 09:32:39","0","f2b782608638b12f","100","225","1","2018-03-22 09:32:40","R_3qlJFax5Oz7ssWA","","","","",30.66,-96.32,"anonymous","EN","20.372","20.372","21.401","1","0","0","2.716","0","","","","","","","","","","","","","","","","","","","","","0","0","42.875","0","","","","","2","6","6","1","6","3","5","6","2","6","1","5","5","2","4","3","2","2","5","4","6","2","5","6","6","6","1","1","3","0","","","","1","0","0","","","","","","1","","4","15","30","11","98669319bb17dac5","31Z0PCVWUKF0PG7HD4XH5XNDES9T7W","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","bird"
"23","2018-03-22 09:29:05","2018-03-22 09:33:23","0","043a9a5cbc83a985","100","257","1","2018-03-22 09:33:23","R_D0DOj25zaC5EsUh","","","","",29.84,-95.15,"anonymous","EN","0","0","5.916","0","0","0","3.014","0","3.788","10.756","14.678","4","3.616","7.734","10.302","6","2.478","9.348","10.186","7","0","0","26.402","0","0","0","10.012","0","","","","","","","","","2","5","6","1","6","1","5","6","3","6","1","5","3","3","4","6","2","5","2","6","3","4","5","2","2","3","5","4","3","0","","","","3","0","1","","","","","","1","","4","21","12","24","d8a98a2161986847","3KB8R4ZV1E7JMNO16LAQBGUK7OSGBW","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","cdc_danger"
"24","2018-03-22 09:28:37","2018-03-22 09:34:04","0","fdf4aca52493b039","100","327","1","2018-03-22 09:34:05","R_1IWyBJIZgftYJT8","","","","",34.2,-118.29,"anonymous","EN","0","0","14.474","0","0","0","7.226","0","","","","","","","","","","","","","","","","","","","","","","","","","0","0","58.306","0","1","6","6","1","6","1","5","6","1","6","1","6","2","2","1","5","2","6","1","6","1","6","5","6","1","6","6","1","3","0","","","","0","1","1","","","","","","1","","4","24","20","30","a8f6d84f8906aa77","3DHE4R9OCWBPYAO5NSHFANRGDIFG2U","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","autism"
"25","2018-03-22 09:31:10","2018-03-22 09:34:06","0","1ac21bff04ecb305","100","175","1","2018-03-22 09:34:06","R_2bVuni4CJBqfpo5","","","","",34.53,-82.72,"anonymous","EN","0","0","6.843","0","0","0","2.939","0","","","","","","","","","","","","","","","","","","","","","","","","","0","0","21.027","0","1","6","6","1","6","1","5","6","1","6","1","6","6","5","5","6","2","6","1","6","5","6","5","4","3","2","5","4","3","0","","","","2","0","0","","","","","","1","thanks!","4","20","14","26","d2bf299f4aa2aaeb","3S3AMIZX3U5ZK86GIV5DGFX5CHDCDQ","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","autism"
